EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-07-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SD   : Snow depth in 1 cm
30-34 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GRAZ-UNIVERSITAET, AUSTRIA (STAID: 12)
Blended and updated with sources:32849 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   SD, Q_SD
    12, 32849,20051201,    4,    0
    12, 32849,20051202,    4,    0
    12, 32849,20051203,    3,    0
    12, 32849,20051204,    0,    0
    12, 32849,20051205,    0,    0
    12, 32849,20051206,    0,    0
    12, 32849,20051207,    0,    0
    12, 32849,20051208,    0,    0
    12, 32849,20051209,    0,    0
    12, 32849,20051210,    0,    0
    12, 32849,20051211,    0,    0
    12, 32849,20051212,    0,    0
    12, 32849,20051213,    3,    0
    12, 32849,20051214,    0,    0
    12, 32849,20051215,    0,    0
    12, 32849,20051216,    0,    0
    12, 32849,20051217,    0,    0
    12, 32849,20051218,    0,    0
    12, 32849,20051219,    0,    0
    12, 32849,20051220,    0,    0
    12, 32849,20051221,    0,    0
    12, 32849,20051222,    0,    0
    12, 32849,20051223,    0,    0
    12, 32849,20051224,    0,    0
    12, 32849,20051225,    0,    0
    12, 32849,20051226,    0,    0
    12, 32849,20051227,   18,    0
    12, 32849,20051228,   27,    0
    12, 32849,20051229,   25,    0
    12, 32849,20051230,   30,    0
    12, 32849,20051231,   26,    0
    12, 32849,20060101,   23,    0
    12, 32849,20060102,   19,    0
    12, 32849,20060103,   13,    0
    12, 32849,20060104,   11,    0
    12, 32849,20060105,   12,    0
    12, 32849,20060106,   14,    0
    12, 32849,20060107,   12,    0
    12, 32849,20060108,   11,    0
    12, 32849,20060109,   11,    0
    12, 32849,20060110,   11,    0
    12, 32849,20060111,   11,    0
    12, 32849,20060112,   11,    0
    12, 32849,20060113,   11,    0
    12, 32849,20060114,   11,    0
    12, 32849,20060115,   11,    0
    12, 32849,20060116,   11,    0
    12, 32849,20060117,   11,    0
    12, 32849,20060118,   11,    0
    12, 32849,20060119,   10,    0
    12, 32849,20060120,   10,    0
    12, 32849,20060121,   10,    0
    12, 32849,20060122,   10,    0
    12, 32849,20060123,   10,    0
    12, 32849,20060124,   10,    0
    12, 32849,20060125,   10,    0
    12, 32849,20060126,   10,    0
    12, 32849,20060127,   10,    0
    12, 32849,20060128,   10,    0
    12, 32849,20060129,   10,    0
    12, 32849,20060130,   10,    0
    12, 32849,20060131,   10,    0
    12, 32849,20060201,   10,    0
    12, 32849,20060202,    9,    0
    12, 32849,20060203,    9,    0
    12, 32849,20060204,    9,    0
    12, 32849,20060205,    9,    0
    12, 32849,20060206,    9,    0
    12, 32849,20060207,    9,    0
    12, 32849,20060208,    9,    0
    12, 32849,20060209,    9,    0
    12, 32849,20060210,    8,    0
    12, 32849,20060211,    8,    0
    12, 32849,20060212,    8,    0
    12, 32849,20060213,    8,    0
    12, 32849,20060214,    8,    0
    12, 32849,20060215,    8,    0
    12, 32849,20060216,    8,    0
    12, 32849,20060217,    6,    0
    12, 32849,20060218,    6,    0
    12, 32849,20060219,    0,    0
    12, 32849,20060220,    0,    0
    12, 32849,20060221,    0,    0
    12, 32849,20060222,    0,    0
    12, 32849,20060223,    0,    0
    12, 32849,20060224,    0,    0
    12, 32849,20060225,    4,    0
    12, 32849,20060226,    8,    0
    12, 32849,20060227,    8,    0
    12, 32849,20060228,    8,    0
    12, 32849,20060301,    7,    0
    12, 32849,20060302,    7,    0
    12, 32849,20060303,    6,    0
    12, 32849,20060304,    5,    0
    12, 32849,20060305,    7,    0
    12, 32849,20060306,   20,    0
    12, 32849,20060307,   13,    0
    12, 32849,20060308,    9,    0
    12, 32849,20060309,    9,    0
    12, 32849,20060310,    5,    0
    12, 32849,20060311,    4,    0
    12, 32849,20060312,    3,    0
    12, 32849,20060313,    0,    0
    12, 32849,20060314,    0,    0
    12, 32849,20060315,    0,    0
    12, 32849,20060316,    0,    0
    12, 32849,20060317,    0,    0
    12, 32849,20060318,    0,    0
    12, 32849,20060319,    0,    0
    12, 32849,20060320,    0,    0
    12, 32849,20060321,    0,    0
    12, 32849,20060322,    0,    0
    12, 32849,20060323,    0,    0
    12, 32849,20060324,    0,    0
    12, 32849,20060325,    0,    0
    12, 32849,20060326,    0,    0
    12, 32849,20060327,    0,    0
    12, 32849,20060328,    0,    0
    12, 32849,20060329,    0,    0
    12, 32849,20060330,    0,    0
    12, 32849,20060331,    0,    0
    12, 32849,20060401,    0,    0
